name,location,length,gain,highpoint,rating,description
Whidbey Institute,Puget Sound and Islands -- Whidbey Island,4.5 miles of trails,420,420.0,0.00,"The Whidbey Institute includes a 106-acre conservation forest with 4.5 miles of trails that are hilly but all below 500 feet. This hike is deep in the forest and very quiet. You will see lots of ferns, cedars and Douglas fir trees."
Mount Defiance (Oregon),Southwest Washington -- Columbia River Gorge - OR,"12.9 miles, roundtrip",4890,4960.0,4.00,This trail is in Oregon.
Turn Point Lighthouse,Puget Sound and Islands -- San Juan Islands,"6.0 miles, roundtrip",280,300.0,5.00,"It doesn’t get better than Stuart Island if you want to combine a quaint little hiking trip with sea kayaking, camping and wildlife watching."
Snowfield Peak,North Cascades -- North Cascades Highway - Hwy 20,"14.0 miles, roundtrip",5032,6000.0,0.00,"A climb in the North Cascades. Climbing gear, routefinding experience and expertise required."
Dandy Pass Road Snowshoe,Snoqualmie Region -- Snoqualmie Pass,"4.0 miles, roundtrip",700,2840.0,0.00,This route is in the Crystal Spring Sno-Park. It is along both a motorized and non-motorized groomed trail.
Dishman Hills Conservation Area - Iller Creek,Eastern Washington -- Spokane Area/Coeur d'Alene,"5.0 miles, roundtrip",1200,3200.0,3.89,"Take a hike on the edge of Spokane Valley with commanding views of Spokane Valley and the Palouse. On the way, you'll see many plant species typical of western slopes of Cascades, a seasonal stream, and amazing variety of wildflowers through from late March through mid-July."
Ragged Ridge,Eastern Washington -- Spokane Area/Coeur d'Alene,"15.1 miles, roundtrip",3000,5300.0,5.00,"Venture beyond the Nordic trails to enter this hiker-only Natural Area Preserve, home to numerous wildlife species and old growth trees with outstanding views of the Spokane Valley and neighboring Idaho."
Mount St. Helens - Monitor Ridge,South Cascades -- Mount St. Helens,"10.0 miles, roundtrip",4500,8365.0,4.45,"Mount St. Helens is a peak that should be on every life list. And because it is an active volcano, it is best not to put it off for too long. Climbing to the crater rim is an opportunity to see not only amazing views in every direction, but to see geology raw, unformed and in its making."
Cape Disappointment State Park - Cape Disappointment Lighthouse,Southwest Washington -- Long Beach Area,"0.6 miles, roundtrip",150,200.0,0.00,"Breathe in the sea spray on this anything-but-disappointing hike out to the scenic Cape Disappointment Lighthouse, which offers a trail through a coastal forest and glimpses of the powerful Pacific Ocean."
Interurban Trail,Puget Sound and Islands -- Bellingham Area,"11.8 miles, roundtrip",300,350.0,2.50,"This trail can be short or long, depending on how much you want to hike and which trailhead you start from. Along the way, you will pass several quaint waterfalls and some spectacular views of the San Juan Islands and Chuckanut Bay."
American Camp and South Beach,Puget Sound and Islands -- San Juan Islands,"2.7 miles, roundtrip",167,175.0,0.00,"Hike from the site of a historic military occupation down to South Beach, the longest public beach on San Juan Island. Wildlife abounds as guests often encounter red foxes and may see orcas in the Strait of Juan de Fuca."
Garfield Ledges,Snoqualmie Region -- North Bend Area,"2.2 miles, roundtrip",830,1860.0,4.38,"Built with the help of Washington Trails Association and Mountains to Sound Greenway crews, the trail to Garfield Ledges will offer visitors expansive views of the Middle Fork valley and a short but steep workout."
Larch Mountain (Silver Star),Southwest Washington -- Lewis River Region,"5.6 miles, roundtrip",1150,3496.0,3.50,"Take a short, rugged trek to a forested summit. Along the way, you'll enjoy beargrass in spring, get some good views of the Silver Star Scenic Area, but the best thing about this hike is the workout."
Quinault National Recreation Trails,Olympic Peninsula -- Pacific Coast,"4.25 miles, roundtrip",350,475.0,2.60,"Providing miles of interconnected and gently graded trail, the Quinault National Recreation Trail System provides you with options to extend or shorten your trip into the Quinault Rainforest. The description provided follows Trail the Quinault Loop Trail 854, though it intersects with a few others at various points."
Silver Star Mountain via Pyramid Rock Trail,Southwest Washington -- Columbia River Gorge - WA,"3.2 miles, one-way",1990,4390.0,4.00,There are many ways to the top of Silver Star Mountain but your car will thank you for choosing this one as the road is in much better shape. You are likely to see beautiful wildflower meadows on the way up to a panoramic view that includes many of the big peaks in both Washington and Oregon.
Packers Trail - Mount Misery Loop,Eastern Washington -- Palouse and Blue Mountains,"45.0 miles, roundtrip",9234,6387.0,0.00,"Embark on a long, lovely backpacking trip through some of the wild and open wilderness in the Wenaha-Tucannon area."
Jacobson Preserve,Central Washington -- Wenatchee,"2.0 miles, roundtrip",340,1440.0,0.00,"Located just outside of the Wenatchee city limits, Jacobson Preserve is part of the just 3 percent of historic, undisturbed shrub-steppe in Washington. Here you'll find rabbitbrush, Sagebrush, Arrowhead balsamroot and antelope bitterbrush, all main sources of food for muledeer. The area is so important, in fact, that it has been established as important habitat for the deer, and there are three monitoring points in the preserve to observe the shrub steppe as it is being reclaimed to native habitat."
Zig Zag Lake,South Cascades -- Mount St. Helens,"1.0 miles, roundtrip",730,4000.0,3.17,"Zig Zag is a solitary lake set high in the southern Cascades. While difficult to get to, it's worth the time and effort to explore this area."
Wynoochee Lake,Olympic Peninsula -- Olympia,"12.0 miles, roundtrip",1100,950.0,2.88,"The trail around Wynoochee Lake is a pleasant stroll through second growth forest with a lush understory. As with many “lakeshore” trails, the trail is not actually near the lakeshore. While the lake is generally out of sight, it does allow the possibility of a hike/canoe biathlon, if you can find a partner with a canoe. Wynoochee Lake is smaller and calmer than some of the lakes in Washington, making this a nice option."
Longmire to Cougar Rock Campground Snowshoe,Mount Rainier Area -- SW - Longmire/Paradise,"7.6 miles, roundtrip",1300,4100.0,3.67,"When the snow flies at Rainier, its your chance to explore a section of the Wonderland in a new way. This section of the Wonderland Trail, leaving from Longmire and heading to Cougar Rock Campground, offers a relatively safe moderate snowshoeing experience."
Wood Lake,South Cascades -- Mount Adams Area,"4.5 miles, roundtrip",1500,4860.0,2.67,"Quiet little Wood Lake is so close to the Cultus Creek trailhead that many don't consider it a destination, but if you're looking for a placid getaway even your littlest hiker will like, this may be just the place."
Wonderland Trail - Mowich to Longmire,Mount Rainier Area -- NW - Carbon River/Mowich,"34.0 miles, one-way",10521,6000.0,4.00,"A section of the Wonderland Trail. It is a strenuous hike with ample elevation gain and loss through lowland forests, valleys, into high alpine and sub-alpine areas. You move through forests with moss and ferns, wildflower-filled rolling meadows, and along hillsides covered in beargrass and thick with huckleberry bushes."
Windy Ridge Trail,South Cascades -- Mount St. Helens,"4.0 miles, roundtrip",200,4200.0,3.38,"The drive to Mount St. Helens’ Windy Ridge is spectacular! From this east side of the mountain, the summit is close — more so than from the Johnston Observatory side. And it is quiet!"
Windy Pass,Central Cascades -- Leavenworth Area,"8.0 miles, one-way",2800,7200.0,5.00,"Take a side trip from Lake Caroline up to a saddle with gorgeous, sweeping views of the Alpine Lakes wilderness."
White Pass Nordic Center,South Cascades -- White Pass/Cowlitz River Valley,"1.86 miles, roundtrip",250,4500.0,0.00,The Nordic Center across from the White Pass Ski Area is a great alternative for those who don't want to zoom downhill. Take it a little slower and soak in the views by snowshoeing around a large lake rife with winter wildlife.
White Pass - Pilot Ridge Loop,North Cascades -- Mountain Loop Highway,"29.2 miles, roundtrip",7500,6360.0,4.73,"A loop hike, beginning and ending in the old-growth forests of the North Fork Sauk River that traverses high ridges and passes of the Pacific crest, visits beautiful alpine lakes, and finally follows the high and lonesome Pilot Ridge Trail before descending back down to the trail junction on the North Fork Sauk River."
White Salmon Road Snowshoe,North Cascades -- Mount Baker Area,"5.0 miles, roundtrip",485,3500.0,3.67,Snowshoe or cross-country ski on this road just below the Mount Baker Ski Area.
West Defiance - Putrid Pete's Peak,Snoqualmie Region -- North Bend Area,"5.0 miles, roundtrip",3020,5220.0,4.08,"Hike through forest, then up steep, open slopes to a magnificent ridge top."
Anacortes Community Forest Lands - Whistle Lake,Puget Sound and Islands -- Whidbey Island,"4.0 miles, roundtrip",580,600.0,4.25,"In the heart of Fidalgo Island lies a natural gem of a forest with wetlands, lakes, and rocky bald meadows with great views. This nice little hike will take you around the lake on a hiker only trail. Take this hike in spring for the fresh new leaves and the dainty spring flowers, or visit on a rainy day in winter and watch the mist float above the lake among the trees. The lake is very popular on hot summer days."
Whiskey Dick Wildlife Area - Ridgeline Solar Trail,Central Washington -- Yakima,"2.4 miles, roundtrip",320,3873.0,0.00,"High, exposed ridgelines on this trail make this steep climb a difficult one, but it offers hikers commanding views of the wind facility as well as the Columbia Basin."
White Chuck Mountain,North Cascades -- Mountain Loop Highway,"4.0 miles, roundtrip",2100,6989.0,3.50,"White Chuck Mountain (Northwest Route) is a Class III scramble that requires basic gear, route finding skills, and extreme caution to negotiate successfully and safely. Those who make the hour long trek down a gravel road, deal with a bit of overgrowth and route finding, and brave the scree and chossy rock will be significantly rewarded with phenomenal views of Thornton Lake and nearby peaks Pugh, Sloan and Glacier"
Whittier Ridge-Lakes Loop,South Cascades -- Mount St. Helens,"14.3 miles, roundtrip",2600,5840.0,3.88,"“Most Difficult”. If you can accept and safely navigate what that means, the Whittier Ridge Trail offers you an airy and ruggedly scenic connection between the Boundary Trail and the Lakes Trail, for an 8.5-mile loop, part of a 14.3-mile “lollipop” day hike."
West Crater,South Cascades -- Mount St. Helens,"1.0 miles, roundtrip",430,4131.0,1.80,Hike to a small lava dome with an associated summit crater in southern Washington.
West Access Trail,Issaquah Alps -- Squak Mountain,"1.1 miles, roundtrip",800,1340.0,2.50,"This is the western approach to Squak Mountain. Here, you'll have access to the Coal Mine Trail, Bullitt Fireplace Trail, and Chybinski Loop Trail."
Whistler Canyon Trail,Eastern Washington -- Okanogan Highlands/Kettle River Range,"24.0 miles, roundtrip",3000,3930.0,4.00,This trail offers vistas of the Okanogan River and Pasayten Wilderness as well as wildlife viewing potential for hikers of all experience levels.
White River,Mount Rainier Area -- Chinook Pass - Hwy 410,"5.9 miles, one-way",600,2960.0,3.75,The White River Trail is a great year-round option to hike a gradual trail through the forest northeast of Mount Rainier National Park.
Green Mountain - Wildcat Trail,Olympic Peninsula -- Kitsap Peninsula,"9.5 miles, roundtrip",1900,1639.0,4.50,"The Wildcat Trail on Green Mountain follows a multi-use trail on a steep, rocky ascent to the peak. Along the way, enjoy views of Hood Canal, the Olympics, and sometimes even downtown Seattle!"
Westport State Park - Westport Light Trail,Southwest Washington -- Long Beach Area,"2.0 miles, roundtrip",15,30.0,5.00,"The Westport Light Trail, also known to locals as ""The Dunes Trail"" is about 1 paved mile dotted with many commemorative stone benches."
West Fork Humptulips River,Olympic Peninsula -- Olympia,"17.0 miles, one-way",700,1000.0,2.14,"The entire West Fork Humptulips trail is 17 miles long. As such, it offers access to several other trails in the area, long riverside rambles, and a multi-day beginner backpacking option."
West Fork Teanaway River,Snoqualmie Region -- Salmon La Sac/Teanaway,"9.6 miles, one-way",2800,5750.0,2.75,"Hiking through a deep canyon with a riparian zone, old-growth, and cliffs, this dramatic trail parallels the river with several crossings. In places, it climbs high above the river to avoid cliffs and other obstructions in the deep, rugged canyon."
Whipple Creek Park,Southwest Washington -- Vancouver Area,"3.1 miles, roundtrip",110,200.0,4.60,A deep-forest experience without the drive. Whipple Creek Park is a 300-acre green oasis in the midst of farmlands to the west of the Clark County Fairgrounds. This hike loops through colossal Douglas fir trees and waist-high sword ferns to provide a primordial experience where you are dwarfed by nature. There is a small meadow for a picnic and the remnants of a grist mill to explore. This hike is a great way to escape urban life and be immersed in a peaceful forest environment.
Wilson Creek,Snoqualmie Region -- Cle Elum Area,"5.6 miles, roundtrip",220,5860.0,3.20,"Beginning at a large intersection of Forest Service road 3500, the Wilson Creek Trail meanders along a plateau of lodgepole pines. At the end of this trail, you'll be at the junction with the High Creek trail and further adventures."
Union Creek,Mount Rainier Area -- Chinook Pass - Hwy 410,"4.5 miles, roundtrip",900,4035.0,3.00,"In the wake of the 2017 Norse Peak Fire, the Union Creek area is charred and stark, and yet strangely beautiful at the same time. Walking through the destruction, the signs of life and renewal are plainly seen. But trail washouts restrict passage, and demand caution."
Upper Falls Creek Trail,Southwest Washington -- Columbia River Gorge - WA,"18.0 miles, roundtrip",1100,2400.0,2.25,"Falls Creek Trail is a good one for introductory backpacking trips, or simply a long, woodsy day hike through the forest. You'll enjoy a gradual grade of this 9 mile trail. Hike the full-length (making for an 18-mile trip) or turn around at any point."
Wallaby Peak,North Cascades -- North Cascades Highway - Hwy 20,"6.0 miles, roundtrip",2900,7995.0,0.00,A peak scramble on the southern end of Kangaroo Ridge. Climbing experience and equipment required.
Waptus River,Snoqualmie Region -- Salmon La Sac/Teanaway,"22.0 miles, roundtrip",700,3100.0,3.40,"Beginning from the heart of Salmon La Sac and terminating at the Pacific Crest Trail, the Waptus River trail offers miles of hiking through dry, open forest and beautiful lakes in the Alpine Lakes wilderness then a little bit of a climb before arriving at the iconic trail high on a ridgeline in the Central Cascades."
Welch Peaks,Olympic Peninsula -- Hood Canal,"9.0 miles, roundtrip",3300,6100.0,5.00,This is an easy scramble from the saddle to the north of the much more popular Mount Townsend.
Weldon Wagon Road,Southwest Washington -- Columbia River Gorge - WA,"5.4 miles, roundtrip",1290,1900.0,3.00,"Oregon white oak woodlands with open ridgetop meadows, wildflowers, and views of the White Salmon Valley make this a delightful hike that is off the beaten track."
Washington Park Arboretum,Puget Sound and Islands -- Seattle-Tacoma Area,"5.0 miles, roundtrip",50,150.0,3.40,"The 230-acre Washington Park Arboretum offers miles of trails that wind through forests of maples, magnolias, oaks, salmonberry, and the famous Azalea Way. Visit the Pacific Connections Gardens to see a variety of plant life from various countries that border the Pacific Ocean, or lose yourself in the many groves of trees that line the paths in the park."
Wedge Mountain,Central Cascades -- Leavenworth Area,"2.0 miles, roundtrip",2400,6900.0,3.67,"Wedge Mountain is a non-system trail (or a social trail) that allows hikers to scramble to the summit of a mountain outside Leavenworth. The road to the trailhead is rough, and the route is quite steep in places."
Wenatchee Crest Snowshoe (Blewett Pass),Central Cascades -- Blewett Pass,"6.0 miles, roundtrip",400,4500.0,4.20,"The Wenatchee Crest near Blewett Pass is an ideal entry-level snowshoe, thanks to its modest elevation gain and panoramic views from the ridgetop. And even with such an easily accessible trailhead, the crowds are often minimal."
Wenaha River Trail,Eastern Washington -- Palouse and Blue Mountains,"29.9 miles, one-way",2500,4000.0,4.00,Hike along a section of the Wenaha River in the Wenaha-Tucannon Wilderness.
Upper Wildcat Lake,Snoqualmie Region -- Snoqualmie Pass,"17.0 miles, roundtrip",4000,4920.0,3.00,A lake located above the extremely popular Snow Lake; Upper Wildcat offers backpacking opportunities for the route-finding enthusiasts in the summer months.
Horseshoe and Chinook Creek Falls via Upper Siouxon Creek,South Cascades -- Dark Divide,"8.4 miles, roundtrip",700,1570.0,2.75,"This excellent early-season romp heads up a lush river canyon boasting three gorgeous waterfalls with riverside campsites for an overnight, or a longer, more challenging loop."
Twin Sisters Rock,Eastern Washington,"1.0 miles, roundtrip",200,500.0,4.00,
Twin Lakes Snowshoe,Snoqualmie Region -- Snoqualmie Pass,"8.0 miles, roundtrip",400,3100.0,1.00,This is a snowshoe up a Forest Road before continuing through to a lake basin just off I-90.
Twin Sisters Lakes,Mount Rainier Area -- Chinook Pass - Hwy 410,"4.4 miles, roundtrip",900,5200.0,3.58,"A long dirt road provides access to the central trailhead for the William O. Douglas Wilderness Area. The popular, easy forest hike to the Twin Sisters Lakes is a prelude to miles of exploration possible on trails and cross-country through open forest, past meadows, ponds, and lakes."
Tumwater Falls Park,Olympic Peninsula -- Olympia,"0.5 miles, roundtrip",30,150.0,4.14,"Visit a park near Olympia that boasts it all: native flora and fauna, an interpretive nature trail, historical markers and plenty to keep kids entertained all year round."
Twin Lakes - Monte Cristo,North Cascades -- Mountain Loop Highway,"17.2 miles, roundtrip",2939,5300.0,5.00,"Take a nice long walk up the old Monte Cristo Road grade and stop by the townsite on your way. Rougher terrain begins on entering the Henry M. Jackson Wilderness area, and past Silver Lake, the trail becomes difficult to find. Trek along a steep mountain-side before finally cresting the ridge to look down on Twin Lakes and make the steep descent to the camp sites."
Tronsen Ridge,Central Cascades -- Blewett Pass,"8.0 miles, roundtrip",1000,5800.0,4.09,"In a word, Tronsen Ridge is dynamic. It’s a place that evolves with each new season, showcasing the variance of Washington state as few trails can. Hike here in June and you’ll be met with bouquets of wildflowers dominating it’s many meadows. Come October, long after the flowers have died off, and you’ll find yourself bound-in by walls of golden larches. Winter offers something altogether different -- an austere, muffled environment with views of the western and eastern faces of the state."
Tumac Mountain,South Cascades -- White Pass/Cowlitz River Valley,"4.0 miles, roundtrip",2304,6340.0,3.50,"Branching off the Sand Ridge trail just beyond Twin Sisters Lake, this trail leads to an old lookout site atop Tumac Mountain and travels through sub-alpine slopes, before traversing and switchbacking up this volcanic cinder cone."
Trapper Creek,Southwest Washington -- Lewis River Region,"9.0 miles, roundtrip",3000,4607.0,3.50,This trail climbs from the trailhead on Forest Road 5401 through an old-growth forest to views of the many mountains of the South Cascades from Observation Peak.
Trail Creek,Snoqualmie Region -- Salmon La Sac/Teanaway,"9.4 miles, roundtrip",1840,4750.0,1.75,"Take the Trail Creek Trail through dry forest on the east side of the Cascade Range. A large fire burned through here more than 100 years ago, opening up the forest and offering views through the remaining trees of the surrounding mountains."
Trail of Two Forests,South Cascades -- Mount St. Helens,"0.5 miles, roundtrip",50,1885.0,3.50,"This trail loops through two forests that stand side by side, but are separated in age by 2000 years. One forest is old-growth Douglas-fir and western red-cedar and the other is a young forest that was originally engulfed by lava flows from an eruption of Mount St. Helens over two millennia ago."
Trap Lake,Central Cascades -- Stevens Pass - West,"11.0 miles, roundtrip",2700,5400.0,4.57,This beautiful trail makes for an excellent overnight or longer day hike.
Teanaway Butte via Jungle Creek,Snoqualmie Region -- Salmon La Sac/Teanaway,"8.0 miles, roundtrip",2150,4760.0,0.00,Description of a winter routefinding scramble to a summit in the Teanaway region. Routefinding and climbing experience highly recommended.
Tolt Pipeline Trail,Puget Sound and Islands -- Seattle-Tacoma Area,"12.0 miles, one-way",1060,535.0,2.67,"Take an urban hike with plenty of up-and-down as you follow the Tolt pipeline easement, a 12-mile corridor with wildflowers, berries, and occasional wildlife on a multi-use trail for equestrians, dog walkers, mountain bikers, joggers, and hikers."
Thorp Lake,Snoqualmie Region -- Salmon La Sac/Teanaway,"5.8 miles, roundtrip",1260,4700.0,4.17,"With a low-key walk that merges into a steep uphill climb, and an optional extension to visit a fire lookout, the trail to Thorp Lake offers a range of hiking experiences crammed into one 2.6-mile trail."
Thunder Mountain Lakes,Central Cascades -- Stevens Pass - West,"14.5 miles, roundtrip",3000,6500.0,3.36,"Thunder Mountain Lakes are found in the Alpine Lakes Wilderness. The area is increasing in popularity, and the lakes are set in a highly sensitive area, so it is important to practice Leave No Trace principles should you decide to visit."
Tieton River Meadows Snowshoe,South Cascades -- Goat Rocks,"10.0 miles, roundtrip",350,3500.0,4.00,"Follow an unplowed forest road as it meanders up the Tieton River Valley and keep on the lookout for elk, fox, martens and other wildlife that thrive in this wilderness area. Along the way you can enjoy views of Old Snowy Mountain or explore the wide meadows that line the trail."
Tacoma Nature Center Interpretive Walks,Puget Sound and Islands -- Seattle-Tacoma Area,2.5 miles of trails,113,408.0,3.00,"At 71-acres, the Tacoma Nature Center preserve boasts more than 20 different species of mammals and about 100 species of birds. It is also home to reptiles, amphibians and native plant populations."
Tiger Mountain Trail,Issaquah Alps -- Tiger Mountain,"15.2 miles, one-way",2360,2500.0,3.80,"Do a through-hike on the main Tiger Mountain Trail, also known as the TMT. Arrange a car shuffle and start at the southern end. Hike north more than fifteen miles over varied terrain and through different types of forest vegetation. Pass a large glacial erratic boulder, and visit some of the most remote places in the Tigers."
Three Corner Rock,Southwest Washington -- Columbia River Gorge - WA,"4.4 miles, roundtrip",800,3550.0,3.50,"Hike the Pacific Crest Trail to a relatively unknown but landmark lookout site on a rock pinnacle with a view of 5 snow peaks and segments of the Columbia River. Three Corner Rock sits atop of broad, open ridge surrounded by beargrass meadows in the spring."
Tieton Meadows,South Cascades -- Goat Rocks,"9.8 miles, roundtrip",2900,3600.0,3.40,"This horse/hiker trail used to access Bear Creek Mountain, but years of underuse and neglect has rendered it nearly impossible to follow."
South Coast Wilderness Trail - Toleak Point,Olympic Peninsula -- Pacific Coast,"17.0 miles, one-way",250,250.0,4.29,"Bring a tide table and a good book on this scenic traverse of the wild Olympic Coast. While much of your hike will be across sandy beaches, there are several places that will require you wait for the tide to go out. Along the way, plan to climb up steep headlands with cable ladders, ropes and your hands and knees. It's a challenge, but a good one."
Toutle Trail,South Cascades -- Mount St. Helens,"13.6 miles, one-way",1500,3600.0,2.60,"The Toutle Trail transects five ecozones over more than 13 miles, but can be done in three sections."
Swamp Trail,Issaquah Alps -- Tiger Mountain,"1.0 miles, roundtrip",75,520.0,3.67,"Take your young hikers out on a half-mile trail through the swampy area north of Tradition Lake. It could even be their first hike! The trail is solidly-constructed, with good footing, no mud and it's almost all level. It's designed with the young visitors in mind. But hey, it's OK if you older folks enjoy it, too!"
Surprise Lake,South Cascades -- Goat Rocks,"13.0 miles, roundtrip",1505,5260.0,3.45,"Most hikers enter the Goat Rocks Wilderness from the western side, but those who come in from the east find the wilderness just as beautiful and wild, and much less crowded. The Surprise Lake Trail is one of the few that enter from the east, and it is also one of the most gentle and scenic."
Swakane Peak,Central Washington -- Wenatchee,"7.4 miles, roundtrip",2787,4297.0,0.00,Take one of three different routes to the top of Swakane Peak for expansive views across the Columbia River and a peek-a-boo view of Icicle Ridge to the west. Two of the routes can be combined for a loop day trip.
Table Mountain,Southwest Washington -- Columbia River Gorge - WA,"16.0 miles, roundtrip",3350,3417.0,3.80,"Table Mountain's dramatic south face and pyramid profile beckon the adventurous hiker ready for a strenuous climb that is good training for summer summit attempts to come. The top features one of the best panoramas of the Columbia River Gorge, as well as views of Mount St. Helens, Rainier, Hood and Adams. Carry a guidebook with good route information as there are a couple of options to the summit and signage may be lacking."
Tamanous Trail,Southwest Washington -- Columbia River Gorge - WA,"1.2 miles, roundtrip",120,200.0,1.50,"The name Tamanous derives from local Native American's who initiated their young in their area by sending them on vision quests, called ""Ta-mah-no-ous."""
Takhlakh Lake and Takh Takh Meadow,South Cascades -- Mount Adams Area,"3.0 miles, roundtrip",500,4624.0,3.50,"A figure-eight loop around Takhlakh Lake and past Takh Takh Meadow, ascending up a lava flow for fantastic vistas of Mount Rainier, the Goat Rocks, and Mount Adams. You can also do a lake-only loop is also possible for a much shorter and leveler hike."
Swift Creek (#244),South Cascades,"4.8 miles, roundtrip",1000,3500.0,2.33,This is a winter only trail linking Marble Mountain SnoPark to the Worm Flows winter climbing route.
Sunday Lake,Snoqualmie Region -- North Bend Area,"6.2 miles, roundtrip",355,1900.0,2.67,"Tucked into a corner of the Alpine Lakes Wilderness is Sunday Lake, a road less traveled that abounds in wildflowers, berries, fauna, historical artifacts, old growth, and alpine littoral habitat. Much more than the gentle woodland saunter implied by the 300-foot elevation change, the route to Sunday Lake requires the fording of Sunday Creek in spring and fall, making it an adventure any day of the week."
Summit Springs,South Cascades -- Mount Adams Area,"5.6 miles, roundtrip",1738,3219.0,3.00,"A hiker and biker trail that is moderate in difficulty, Summit Springs is also known as Snass Creek."
Anacortes Community Forest Lands - Sugarloaf,Puget Sound and Islands -- Whidbey Island,"2.5 miles, roundtrip",890,1275.0,3.40,"While it’s not quite as tall as nearby Mount Erie, Sugarloaf makes a great summit—this one doesn’t have a parking lot at the top."
Sunrise Peak,South Cascades -- Dark Divide,"3.0 miles, roundtrip",1400,5892.0,3.57,"Visit Sunrise Peak at the right time and you'll see why its name is appropriate. The early morning sun gives Mount Adams a brilliant glow that makes for an enthralling way to kick off your day. Luckily, the enchanting views that this hike offers are available from Sunrise to sunset, and if you prefer hiking in full daylight, you won't miss out on any views."
Sunrise Lake,North Cascades -- Methow/Sawtooth,"14.0 miles, roundtrip",3600,7200.0,3.00,The Sunrise Lake trail is a steep one mile section of trail that is part of the Sawtooth Backcountry Trail system.
Sunshine Trail,South Cascades -- Mount Adams Area,"1.5 miles, roundtrip",1600,3400.0,3.33,A primitive trail that climbs steeply to connect the Trapper Creek Trail (#192) to the Observation Trail (#132).
Surprise Lake Snowshoe,Central Cascades -- Stevens Pass - West,"8.0 miles, roundtrip",2300,4500.0,3.00,"Heading to Surprise Lake in the winter can be rewarding, but be sure you know your avalanche warning signs before heading up."
Taylor Mountain,Issaquah Alps,30.0 miles of trails,550,1100.0,2.42,"The extensive trail system at Taylor Mountain Forest is used by equestrians, hikers, and mountain bikers. This working forest is intended to demonstrate environmentally sound forest management, protect and restore ecological systems and provide passive recreational opportunities. Taylor Mountain is dominated by mature red alder trees. Trail users will see recent efforts to convert some of the forests from red alder to conifers."
Swauk Forest Discovery Trail  Snowshoe,Central Cascades -- Blewett Pass,"3.0 miles, roundtrip",500,4550.0,1.50,"Swauk Forest Discovery Trail is a scenic loop adventure set among a bountiful mixed forest. Located on the south side of Blewett Pass, the trailhead is both convenient and efficient, giving the hiker a 4120-foot starting point. Periodic views that look onto higher peaks are framed by cheery ponderosa and Douglas fir."
Tamanos Mountain,Mount Rainier Area -- SE - Cayuse Pass/Stevens Canyon,"10.0 miles, roundtrip",3080,6790.0,3.80,"Tamanos is a moderately strenuous 10 mile round trip hike that goes through forest, meadows, rock and ridge scrambles ending in glorious up close views of Mount Rainier."
Table Rock,Eastern Washington -- Palouse and Blue Mountains,"1.2 miles, roundtrip",400,6250.0,4.50,Table Rock and its fire lookout is a must-visit site accessible by car.
Sumas Mountain,Puget Sound and Islands -- Bellingham Area,"6.2 miles, roundtrip",2800,3200.0,3.73,"Sumas Mountain sits a short drive NE from Bellingham, on the western edge of the North Cascade foothills. The trail climbs past mining relics and through forest to views of distant peaks and nearby farmland."
Suntop Lookout,Mount Rainier Area -- Chinook Pass - Hwy 410,"2.1 miles, roundtrip",1100,5400.0,2.89,"Reaching the summit of Suntop can require considerable energy, or it can be a simple short walk, but the views of Mount Rainier and the White River valley below are worth it any way you slice it. Hike either 16 miles or just two, depending on which trail you use."
Sucia Island State Park,Puget Sound and Islands -- San Juan Islands,10.0 miles of trails,223,223.0,4.20,"Far to the north, between the Strait of Georgia and the waters surrounding the San Juan Islands is a funny-shaped little island with a wealth of hiking trails on its relatively small square acreage."
Spectacle Lake,Snoqualmie Region -- Salmon La Sac/Teanaway,"22.0 miles, roundtrip",1500,4600.0,4.38,"Spectacle Lake is truly worthy of the name - it's quite a sight to see. Nestled at the base of Chikamin Ridge and just a short jaunt from the Pacific Crest Trail, this lake is one of the true gems of Snoqualmie Pass."
Spade Lake,Snoqualmie Region -- Salmon La Sac/Teanaway,"25.6 miles, roundtrip",5200,5400.0,3.25,"Spade Lake is a lovely, lonesome lake nestled in a rocky cirque high on Mount Daniel. It is one of the most remote lakes in the Alpine Lakes Wilderness."
Standup Creek,Snoqualmie Region -- Salmon La Sac/Teanaway,"14.4 miles, roundtrip",3100,6200.0,1.83,"The lesser known creek between Bean and Stafford, Standup offers a gentle valley followed by steepness to an open hillside and ridge with views. But this quiet hike is only accessible via a road only appropriate for high-clearance vehicles."
Bluff Trail,Southwest Washington -- Lewis River Region,"4.4 miles, roundtrip",1900,3500.0,2.25,Hike a steep and sometimes difficult to follow trail to where it intersects the Lewis River Trail a half mile downstream of Forest Road 90 near Crab Creek.
Stimpson Nature Reserve,Puget Sound and Islands -- Bellingham Area,"4.9 miles, roundtrip",300,800.0,4.29,"Take a stroll through 350 acres of undisturbed old-growth forest and thriving wetland ecosystem at the Stimpson Family Nature Reserve, a quiet place where hikers can experience the intricate grandeur of nature. Interpretive signs encourage adults and children to discover the nature of the reserve."
Starway,Southwest Washington -- Lewis River Region,"11.0 miles, roundtrip",2377,3977.0,3.25,"Steep is the name of Starway's game. You'll reach the summit in just 1.5 miles, but it's a grueling 3000 feet of elevation to get there. Along the way, the trail (which is hard to find at times) is littered with wildflowers in the spring and huckleberries in the fall. Once you arrive at the top, enjoy a 360-degree view that includes Mounts Adams, St. Helens, Hood, Jefferson, and Rainier, as well as nearby Silver Star Mountain. On particularly clear days, you may even see the peaks of the Oregon Coast Range."
